dist_name,dist_code,teh_name,teh_code
Balod,422,Gunderdehi,3319
Balod,422,DondiLuhara,3320
Balod,422,Balod,3321
Balod,422,Dondi,3322
Balod,422,Gurur,3323
BalodaBazar,421,Simga,3324
BalodaBazar,421,Bhatapara,3325
BalodaBazar,421,BalodaBazar,3326
BalodaBazar,421,Palari,3327
BalodaBazar,421,Kasdol,3328
BalodaBazar,421,Bilaigarh,3329
Balrampur,420,Ramanujganj,3236
Balrampur,420,Balrampur,3237
Balrampur,420,Wadrafnagar,3238
Balrampur,420,Kusmi,3240
Balrampur,420,Shankargarh,3241
Balrampur,420,Rajpur,3250
Bastar,414,Jagdalpur,3360
Bastar,414,Lohandiguda,3361
Bastar,414,Bastanar,3362
Bastar,414,Bastar,3363
Bastar,414,Bakavand,3364
Bastar,414,Tokapal,3365
Bastar,414,Darbha,3366
Bemetara,418,Nawagarh,3311
Bemetara,418,Bemetara,3312
Bemetara,418,Saja,3313
Bemetara,418,Thanakhamria,3314
Bemetara,418,Berla,3315
Bijapur,417,Bhopalpattnam,3376
Bijapur,417,Usur,3377
Bijapur,417,Bijapur,3378
Bijapur,417,Bhairamgarh,3379
Bilaspur,406,Kota,3291
Bilaspur,406,Takhatpur,3294
Bilaspur,406,Bilaspur,3295
Bilaspur,406,Masturi,3296
Bilaspur,406,Bilha,3297
Dantewada,416,Dantewada,3369
Dantewada,416,Gidam,3370
Dantewada,416,Katekalyan,3371
Dantewada,416,Kuakonda,3372
Dhamtari,412,Kurud,3344
Dhamtari,412,Magarlod,3345
Dhamtari,412,Dhamtari,3346
Dhamtari,412,Nagri,3347
Durg,409,Dhamdha,3316
Durg,409,Durg,3317
Durg,409,Patan,3318
Gariyaband,425,Rajim,3333
Gariyaband,425,Gariyaband,3335
Gariyaband,425,Chhura,3336
Gariyaband,425,Mainpur,3337
Gariyaband,425,Deobhog,3338
GaurellaPendraMarwahi,427,PendraRoad,3287
GaurellaPendraMarwahi,427,Marwahi,3288
GaurellaPendraMarwahi,427,Pendra,3289
JanjgirChampa,405,Janjgir,3277
JanjgirChampa,405,Akaltara,3278
JanjgirChampa,405,Baloda,3279
JanjgirChampa,405,Nawagarh,3280
JanjgirChampa,405,Champa,3281
JanjgirChampa,405,Sakti,3282
JanjgirChampa,405,Pamgarh,3283
JanjgirChampa,405,Dabhra,3284
JanjgirChampa,405,Malkharoda,3285
JanjgirChampa,405,Jaijaipur,3286
Jashpur,402,Bagicha,3255
Jashpur,402,Kansabel,3256
Jashpur,402,Jashpur,3257
Jashpur,402,Manora,3258
Jashpur,402,Kunkuri,3259
Jashpur,402,Duldula,3260
Jashpur,402,Farsabahar,3261
Jashpur,402,Pathalgaon,3262
Kabeerdham,407,Kawardha,3298
Kabeerdham,407,Bodla,3299
Kabeerdham,407,SahaspurLohara,3300
Kabeerdham,407,Pandariya,3301
Kanker,413,Charama,3348
Kanker,413,Bhanupratappur,3349
Kanker,413,Durgkondal,3350
Kanker,413,Kanker,3351
Kanker,413,Narharpur,3352
Kanker,413,Antagarh,3353
Kanker,413,Pakhanjur,3354
Kondagaon,419,Keskal,3355
Kondagaon,419,Bade Rajpur,3356
Kondagaon,419,Kondagaon,3357
Kondagaon,419,Makdi,3358
Kondagaon,419,Farasgaon,3359
Korba,404,Katghora,3272
Korba,404,PoundiUproda,3273
Korba,404,Pali,3274
Korba,404,Korba,3275
Korba,404,Kartala,3276
Koriya,400,Bharatpur,3231
Koriya,400,Baikunthpur,3232
Koriya,400,Sonhat,3233
Koriya,400,Manendragarh,3234
Koriya,400,Khadganva,3235
Mahasamund,411,Basna,3339
Mahasamund,411,Saraipali,3340
Mahasamund,411,Mahasamund,3341
Mahasamund,411,Pithora,3342
Mahasamund,411,Bagbahra,3343
Mungeli,426,Lormi,3290
Mungeli,426,Mungeli,3292
Mungeli,426,Pathariya,3293
Narayanpur,415,Narayanpur,3367
Narayanpur,415,Orchha,3368
Raigarh,403,Dharamjaigarh,3263
Raigarh,403,Lailunga,3264
Raigarh,403,Gharghoda,3265
Raigarh,403,Tamnar,3266
Raigarh,403,Raigarh,3267
Raigarh,403,Pusour,3268
Raigarh,403,Kharsia,3269
Raigarh,403,Sarangarh,3270
Raigarh,403,Baramkela,3271
Raipur,410,Arang,3330
Raipur,410,Abhanpur,3331
Raipur,410,Raipur,3332
Raipur,410,Tilda,3334
Rajnandgaon,408,Chhuikhadan,3302
Rajnandgaon,408,Khairagarh,3303
Rajnandgaon,408,Dongargarh,3304
Rajnandgaon,408,Rajnandgaon,3305
Rajnandgaon,408,Chhuriya,3306
Rajnandgaon,408,Dongargaon,3307
Rajnandgaon,408,Mohla,3308
Rajnandgaon,408,Manpur,3309
Rajnandgaon,408,Ambagarh,3310
Sukma,424,Konta,3373
Sukma,424,Chhindgarh,3374
Sukma,424,Sukma,3375
Surajpur,423,Pratappur,3239
Surajpur,423,Surajpur,3242
Surajpur,423,Oudgi,3243
Surajpur,423,Bhaiyathan,3244
Surajpur,423,Ramanujnagar,3245
Surajpur,423,Premnagar,3246
Surguja,401,Ambikapur,3247
Surguja,401,Lakhanpur,3248
Surguja,401,Udaypur,3249
Surguja,401,Lundra,3251
Surguja,401,Sitapur,3252
Surguja,401,Batouli,3253
Surguja,401,Mainpat,3254
